2025/08/04 17:53:14 gin logger: {Formatter:0x1a29ee0 Output:0xc0002114a0 SkipPaths:[/api/clients/all] Skip:<nil>}
2025/08/04 17:53:14 Registering: auth middleware
2025/08/04 17:59:11 gin logger: {Formatter:0x1a29ee0 Output:0xc0000c7140 SkipPaths:[/api/clients/all] Skip:<nil>}
2025/08/04 17:59:11 Registering: auth middleware
2025/08/04 17:59:11 INFO StartUp listen="About to listen on 9090"
[] 2025/08/04 - 18:09:08 | 204 |        7.74µs |             ::1 | OPTIONS  "/api/v1/doctors/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:09:08 | 404 |       5.427µs |             ::1 | GET      "/api/v1/doctor/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:09:08 | 401 |      180.17µs |             ::1 | GET      "/api/v1/doctors/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:09:12 | 204 |       7.787µs |             ::1 | OPTIONS  "/api/v1/doctor/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:09:12 | 404 |       4.839µs |             ::1 | GET      "/api/v1/doctor/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:09:12 | 204 |       8.527µs |             ::1 | OPTIONS  "/api/v1/doctors/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:09:12 | 401 |     226.913µs |             ::1 | GET      "/api/v1/doctors/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:11:15 | 204 |       11.41µs |             ::1 | OPTIONS  "/api/v1/doctors/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:11:15 | 204 |      10.066µs |             ::1 | OPTIONS  "/api/v1/doctors/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:11:15 | 401 |     770.984µs |             ::1 | GET      "/api/v1/doctors/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:11:15 | 401 |     403.729µs |             ::1 | GET      "/api/v1/doctors/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:11:16 | 204 |       8.691µs |             ::1 | OPTIONS  "/api/v1/doctors/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:11:16 | 401 |     263.054µs |             ::1 | GET      "/api/v1/doctors/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:11:16 | 204 |       8.467µs |             ::1 | OPTIONS  "/api/v1/doctors/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:11:16 | 401 |      172.73µs |             ::1 | GET      "/api/v1/doctors/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:11:18 | 204 |        8.26µs |             ::1 | OPTIONS  "/api/v1/doctors/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:11:18 | 401 |     184.083µs |             ::1 | GET      "/api/v1/doctors/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:11:18 | 204 |       9.544µs |             ::1 | OPTIONS  "/api/v1/doctors/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:11:18 | 401 |     233.715µs |             ::1 | GET      "/api/v1/doctors/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:11:22 | 204 |       8.233µs |             ::1 | OPTIONS  "/api/v1/doctors/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:11:22 | 401 |     342.245µs |             ::1 | GET      "/api/v1/doctors/all?_start=0&_end=25&_filters="
[] 2025/08/04 - 18:11:22 | 204 |       9.503µs |             ::1 | OPTIONS  "/api/v1/doctors/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:11:22 | 401 |     244.665µs |             ::1 | GET      "/api/v1/doctors/all?_start=0&_end=10&_filters="
[] 2025/08/04 - 18:14:55 | 204 |        9.32µs |             ::1 | OPTIONS  "/api/ums/user/"
[] 2025/08/04 - 18:14:55 | 204 |       7.963µs |             ::1 | OPTIONS  "/api/ums/check/"
[] 2025/08/04 - 18:14:55 | 404 |       6.108µs |             ::1 | GET      "/api/ums/user/"
[] 2025/08/04 - 18:14:55 | 404 |        5.69µs |             ::1 | GET      "/api/ums/check/"
[] 2025/08/04 - 18:14:55 | 204 |        8.61µs |             ::1 | OPTIONS  "/api/ums/check/"
[] 2025/08/04 - 18:14:55 | 404 |      10.804µs |             ::1 | GET      "/api/ums/check/"
[] 2025/08/04 - 18:15:00 | 204 |       8.625µs |             ::1 | OPTIONS  "/ums/auth/login/"
[] 2025/08/04 - 18:15:00 | 400 |    2.628626ms |             ::1 | POST     "/ums/auth/login/"
